year,cc,ex.rate
1991,ANG,0.555555555555556
1992,ANG,0.555555555555555
1993,ANG,0.555555555555555
1994,ANG,0.555555555555555
1995,ANG,0.555555555555555
1996,ANG,0.555555555555556
1997,ANG,0.555555555555556
1998,ANG,0.555555555555555
1999,ANG,0.555555555555556
2000,ANG,0.555555555555555
2001,ANG,0.555555555555555
2002,ANG,0.555555555555556
2003,ANG,0.555555555555556
2004,ANG,0.555555555555555
2005,ANG,0.555555555555556
2006,ANG,0.555555555555556
2007,ANG,0.555555555555555
2008,ANG,0.555555555555556
2009,ANG,0.555555555555556
2010,ANG,0.555555555555556
2011,ANG,0.555555555555556
2012,ANG,0.555555555555556
2013,ANG,0.555555555555556
2014,ANG,0.555555555555556
2015,ANG,0.555555555555556
2016,ANG,0.555555555555555
2017,ANG,0.555555555555556
2018,ANG,0.555555555555556
2019,ANG,0.555555555555556
2020,ANG,0.555555555555555
2021,ANG,0.555555555555555
2022,ANG,0.555555555555556
2023,ANG,0.555555555555556
2024,ANG,0.555555555555556
2025,ANG,0.555555555555556
2026,ANG,0.555555555555556
2027,ANG,0.555555555555556
2028,ANG,0.555555555555556
1994,AOA,4965
1995,AOA,364.529411764706
1996,AOA,7.82191780821918
1997,AOA,4.38077461502567
1998,AOA,2.54574536148433
1999,AOA,0.358346824111989
2000,AOA,0.0995915018105924
2001,AOA,0.0453361428192195
2002,AOA,0.0229731659114648
2003,AOA,0.0134039159029001
2004,AOA,0.0119700950919154
2005,AOA,0.0114733036448555
2006,AOA,0.0124427520808787
2007,AOA,0.0130366695030701
2008,AOA,0.013327462801147
2009,AOA,0.0126058300193282
2010,AOA,0.0108806554439633
2011,AOA,0.0106457136218281
2012,AOA,0.0104747258679995
2013,AOA,0.0103607427055703
2014,AOA,0.0101726769180933
2015,AOA,0.0083291458457136
2016,AOA,0.00611037023922676
2017,AOA,0.00602716179270796
2018,AOA,0.00395482077797821
2019,AOA,0.00274104908792237
2020,AOA,0.00172933680255949
2021,AOA,0.00158367570748805
2022,AOA,0.00216249166043768
2023,AOA,0.00146216547835973
2024,AOA,0.0011379974184573
2025,AOA,0.000982907682251038
2026,AOA,0.000912294536850644
2027,AOA,0.000865229403264052
2028,AOA,0.000808444924499738
1984,ARS,130544
1985,ARS,16433.1666666667
1986,ARS,10778.6363636364
1987,ARS,4675.42307692308
1988,ARS,1148.27419354839
1989,ARS,25.1797133406836
1990,ARS,2.05066182195692
1991,ARS,1.04807273949846
1992,ARS,1.0094398074153
1993,ARS,1
1994,ARS,1
1995,ARS,1
1996,ARS,1
1997,ARS,1
1998,ARS,1
1999,ARS,1
2000,ARS,1
2001,ARS,1
2002,ARS,0.321781130002346
2003,ARS,0.338885822237873
2004,ARS,0.339942075590324
2005,ARS,0.342077255046023
2006,ARS,0.325311773645629
2007,ARS,0.320989319717274
2008,ARS,0.316222328534771
2009,ARS,0.268150457157052
2010,ARS,0.255596008954577
2011,ARS,0.242147387357619
2012,ARS,0.219744418877066
2013,ARS,0.182620784813831
2014,ARS,0.123084280937916
2015,ARS,0.10789535998764
2016,ARS,0.0676668902889589
2017,ARS,0.0603984154188043
2018,ARS,0.0355671588850585
2019,ARS,0.0207233103357175
2020,ARS,0.0141573367334463
2021,ARS,0.0105160009778573
2022,ARS,0.00764960345808279
2023,ARS,0.00355616254037214
2024,ARS,0.00180312442684092
2025,ARS,0.00114241261538218
2026,ARS,0.000809215201262748
2027,ARS,0.000605118565418368
2028,ARS,0.000466476894703984
1980,AUD,1.13951358003972
1981,AUD,1.14931326388719
1982,AUD,1.01739664792317
1983,AUD,0.902383238409298
1984,AUD,0.87957300072713
1985,AUD,0.7007963549284
1986,AUD,0.670875221762271
1987,AUD,0.700857904791969
1988,AUD,0.784091960670908
1989,AUD,0.792318345679583
1990,AUD,0.781148765908215
1991,AUD,0.779073285280036
1992,AUD,0.735275013580204
1993,AUD,0.680419197374297
1994,AUD,0.731662977694313
1995,AUD,0.741497317207235
1996,AUD,0.782935646877287
1997,AUD,0.744059521690729
1998,AUD,0.62939699943725
1999,AUD,0.645328898697195
2000,AUD,0.582283659445609
2001,AUD,0.517616850793529
2002,AUD,0.543879572400687
2003,AUD,0.651847318385477
2004,AUD,0.736579091590332
2005,AUD,0.763843004156871
2006,AUD,0.753352966085383
2007,AUD,0.838561196824248
2008,AUD,0.855269336010233
2009,AUD,0.791302628978059
2010,AUD,0.919497178040021
2011,AUD,1.03221169240831
2012,AUD,1.03579796326485
2013,AUD,0.96842326720049
2014,AUD,0.902692050271436
2015,AUD,0.75261683440855
2016,AUD,0.743890305146215
2017,AUD,0.766775255145929
2018,AUD,0.7481402875229
2019,AUD,0.695424337944466
2020,AUD,0.690422315122981
2021,AUD,0.751776290237829
2022,AUD,0.694952405832122
2023,AUD,0.665742303990407
2024,AUD,0.652000866410354
2025,AUD,0.655076397931334
2026,AUD,0.654594823453667
2027,AUD,0.653573249702549
2028,AUD,0.652313126564426
1995,AWG,0.558798646362098
1996,AWG,0.558704453441296
1997,AWG,0.558716265499635
1998,AWG,0.558537403555854
1999,AWG,0.558690012970169
2000,AWG,0.558604235013421
2001,AWG,0.558468335787923
2002,AWG,0.558656036446469
2003,AWG,0.5586225744739
2004,AWG,0.558721506442022
2005,AWG,0.558712121212121
2006,AWG,0.558697127346754
2007,AWG,0.558731483413311
2008,AWG,0.558655924543132
2009,AWG,0.558739881863925
2010,AWG,0.558743169398907
2011,AWG,0.558661584074545
2012,AWG,0.558641315958129
2013,AWG,0.558672946958837
2014,AWG,0.558646917534027
2015,AWG,0.558634992458522
2016,AWG,0.558696873244711
2017,AWG,0.558626919602529
2018,AWG,0.558663028649386
2019,AWG,0.558736426456071
2020,AWG,0.558733624454149
2021,AWG,0.558595859585959
2022,AWG,0.558707643814027
2023,AWG,0.558686131386861
2024,AWG,0.558678152803276
2025,AWG,0.558686730506156
2026,AWG,0.558636243035288
2027,AWG,0.558600283031005
2028,AWG,0.558702432938241
1992,AZN,238.6
1993,AZN,42.2258064516129
1994,AZN,3.18476727785614
1995,AZN,1.13261480787254
1996,AZN,1.16288433382138
1997,AZN,1.25457715780296
1998,AZN,1.29227053140097
1999,AZN,1.21350993377483
2000,AZN,1.11763459092836
2001,AZN,1.02990970654628
2002,AZN,1.02787398977404
2003,AZN,1.01804953127186
2004,AZN,1.01781946072685
2005,AZN,1.05988980276292
2006,AZN,1.1216792915822
2007,AZN,1.16674306265647
2008,AZN,1.22029548795376
2009,AZN,1.24400314589068
2010,AZN,1.24603791357589
2011,AZN,1.26704043623517
2012,AZN,1.27296142042964
2013,AZN,1.27462101680932
2014,AZN,1.27495170637476
2015,AZN,0.934976094152262
2016,AZN,0.626065370293753
2017,AZN,0.588231112627598
2018,AZN,0.588236028567148
2019,AZN,0.588233857575462
2020,AZN,0.588236104604701
2021,AZN,0.588232138450479
2022,AZN,0.588233975460673
2023,AZN,0.588232611521126
2024,AZN,0.588231448660585
2025,AZN,0.588232831113003
2026,AZN,0.588236081191378
2027,AZN,0.588231523209375
2028,AZN,0.588232412006443
1996,BAM,0.649157761275131
1997,BAM,0.579934127185204
1998,BAM,0.572838702679249
1999,BAM,0.545454545454546
2000,BAM,0.471077184054283
2001,BAM,0.457558737441658
2002,BAM,0.48121325111143
2003,BAM,0.577059223961879
2004,BAM,0.634891861482685
2005,BAM,0.635829747645075
2006,BAM,0.641408421702873
2007,BAM,0.699808184143223
2008,BAM,0.748959333973743
2009,BAM,0.710290556900726
2010,BAM,0.67718772192851
2011,BAM,0.710759252193819
2012,BAM,0.656931241171305
2013,BAM,0.678869236809633
2014,BAM,0.678362144740697
2015,BAM,0.56704345120813
2016,BAM,0.565570791343136
2017,BAM,0.576234946388705
2018,BAM,0.60350008838607
2019,BAM,0.572390666480369
2020,BAM,0.582411886662059
2021,BAM,0.604751564695363
2022,BAM,0.538841885507087
2023,BAM,0.556450447101584
2024,BAM,0.559300922502044
2025,BAM,0.561129159554356
2026,BAM,0.562101358846367
2027,BAM,0.55999736673195
2028,BAM,0.557781854099055
1980,BBD,0.5
1981,BBD,0.499776885319054
1982,BBD,0.500213583938488
1983,BBD,0.5
1984,BBD,0.500184569952012
1985,BBD,0.500176366843034
1986,BBD,0.500160616768391
1987,BBD,0.5
1988,BBD,0.5
1989,BBD,0.500123915737299
1990,BBD,0.500123548307388
1991,BBD,0.5
1992,BBD,0.5
1993,BBD,0.5
1994,BBD,0.499884446498729
1995,BBD,0.499887867234806
1996,BBD,0.5
1997,BBD,0.500099502487562
1998,BBD,0.5
1999,BBD,0.500084217618326
2000,BBD,0.499918287301847
2001,BBD,0.500081846456049
2002,BBD,0.499919523579591
2003,BBD,0.500077893752921
2004,BBD,0.499927420525475
2005,BBD,0.500065453593402
2006,BBD,0.499940723177238
2007,BBD,0.5
2008,BBD,0.5
2009,BBD,0.500055984772142
2010,BBD,0.5
2011,BBD,0.500053676865271
2012,BBD,0.5
2013,BBD,0.499946552645644
2014,BBD,0.499946768870435
2015,BBD,0.50005291565245
2016,BBD,0.5
2017,BBD,0.500050185687042
2018,BBD,0.499950956351153
2019,BBD,0.499953047234482
2020,BBD,0.5
2021,BBD,0.5
2022,BBD,0.499956028493536
2023,BBD,0.499959810304638
2024,BBD,0.5
2025,BBD,0.5
2026,BBD,0.5
2027,BBD,0.5
2028,BBD,0.499969353355808
1980,BDT,0.0645029433129128
1981,BDT,0.0598069294797898
1982,BDT,0.0498702621432209
1983,BDT,0.0427967565844951
1984,BDT,0.0400249549631571
1985,BDT,0.0374898369356654
1986,BDT,0.0342452220872959
1987,BDT,0.0325964336694871
1988,BDT,0.0319062023083882
1989,BDT,0.0312484609702044
1990,BDT,0.0299231301686765
1991,BDT,0.0281035030161922
1992,BDT,0.0264735918399795
1993,BDT,0.0254717201166181
1994,BDT,0.0250693702156145
1995,BDT,0.0248478225443112
1996,BDT,0.0243688577908265
1997,BDT,0.0233407895483317
1998,BDT,0.0220271334083769
1999,BDT,0.0208353651928912
2000,BDT,0.019757558045541
2001,BDT,0.0185273798915177
2002,BDT,0.0175910603722366
2003,BDT,0.0172356605161807
2004,BDT,0.0169978198988137
2005,BDT,0.0161497894831489
2006,BDT,0.0148889404255466
2007,BDT,0.0144810381817547
2008,BDT,0.0145749541565807
2009,BDT,0.0145344328481024
2010,BDT,0.0144543078534996
2011,BDT,0.0140460529913844
2012,BDT,0.0126379403232327
2013,BDT,0.0125104615911645
2014,BDT,0.0128666349818744
2015,BDT,0.0128696442339465
2016,BDT,0.0127774022904672
2017,BDT,0.0126383907117261
2018,BDT,0.0121769155456403
2019,BDT,0.0119006081460879
2020,BDT,0.0117932709640119
2021,BDT,0.0117915916587941
2022,BDT,0.0115869563684815
2023,BDT,0.0100545517250234
2024,BDT,0.00909090909090909
2025,BDT,0.00909090747609416
2026,BDT,0.00909090765732629
2027,BDT,0.00909090655459648
2028,BDT,0.00909091246596509
1980,BGN,1020.2972972973
1981,BGN,1017.95
1982,BGN,1011.11904761905
1983,BGN,1014.90697674419
1984,BGN,1007.78260869565
1985,BGN,844.510638297872
1986,BGN,702.6
1987,BGN,768.320754716981
1988,BGN,1188.32142857143
1989,BGN,1189.01754385965
1990,BGN,452.757575757576
1991,BGN,14.8629441624365
1992,BGN,40.8316151202749
1993,BGN,14.8937644341801
1994,BGN,14.8792650918635
1995,BGN,14.884012539185
1996,BGN,5.62185642432556
1997,BGN,0.594630096679277
1998,BGN,0.56806500377929
1999,BGN,0.544184003513956
2000,BGN,0.470968888888889
2001,BGN,0.457708071126602
2002,BGN,0.481464087586956
2003,BGN,0.57716032534527
2004,BGN,0.634887502730516
2005,BGN,0.635259586957909
2006,BGN,0.641322190717803
2007,BGN,0.699782656628973
2008,BGN,0.747813911348443
2009,BGN,0.71089490441508
2010,BGN,0.676874382328588
2011,BGN,0.711010305211775
2012,BGN,0.657006993683905
2013,BGN,0.678631356241337
2014,BGN,0.678336304218657
2015,BGN,0.566763392857143
2016,BGN,0.565604361044135
2017,BGN,0.57739364031886
2018,BGN,0.604088610818086
2019,BGN,0.572444267251404
2020,BGN,0.583527577082279
2021,BGN,0.605127614882169
2022,BGN,0.5388368886954
2023,BGN,0.55644969775475
2024,BGN,0.559291963624935
2025,BGN,0.561122254059217
2026,BGN,0.562101918056974
2027,BGN,0.559991025508267
2028,BGN,0.557782244830981
1980,BHD,2.65361890694239
1981,BHD,2.65967213114754
1982,BHD,2.66001247660636
1983,BHD,2.66017052375152
1984,BHD,2.65923753665689
1985,BHD,2.65879428216283
1986,BHD,2.65845909451946
1987,BHD,2.66030814380044
1988,BHD,2.6593471810089
1989,BHD,2.65927189988623
1990,BHD,2.65934654525978
1991,BHD,2.66036772216548
1992,BHD,2.65982404692082
1993,BHD,2.65926254997779
1994,BHD,2.65906262961427
1995,BHD,2.65948275862069
1996,BHD,2.66000753863551
1997,BHD,2.65915697674419
1998,BHD,2.66007604562738
1999,BHD,2.65941774815854
